filename,width,height,class,xmin,ymin,xmax,ymax
like.9fb39da4-99e6-11eb-9856-dca2663dabe4.jpg,640,480,like,179,201,341,403
mom.7055b0e3-93b5-11eb-8f49-dca2663dabe4.jpg,640,480,mom,58,113,284,427
cat.14034a1c-9447-11eb-9b55-dca2663dabe4.jpg,640,480,cat,214,114,320,254
before.ea5d0ece-93d5-11eb-9e47-dca2663dabe4.jpg,640,480,before,184,283,380,480
cat.0a5e7b1a-9447-11eb-b396-dca2663dabe4.jpg,640,480,cat,265,90,375,250
dislike.09aba640-99fb-11eb-8497-dca2663dabe4.jpg,640,480,dislike,81,127,241,321
dad.a4fca8c0-93af-11eb-bbbc-dca2663dabe4.jpg,640,480,dad,118,121,301,278
yes.4537a9ff-955d-11eb-9bfa-dca2663dabe4.jpg,640,480,yes,319,98,614,309
dislike.f7c57673-99fa-11eb-807e-dca2663dabe4.jpg,640,480,dislike,220,164,440,436
how.a31cf797-9a24-11eb-9ad2-dca2663dabe4.jpg,640,480,how,149,313,459,480
pay.5a146a6c-99fd-11eb-9f11-dca2663dabe4.jpg,640,480,pay,130,215,447,439
before.f07b08fb-93d5-11eb-93bb-dca2663dabe4.jpg,640,480,before,102,271,416,480
pay.6af5b372-99fd-11eb-8cef-dca2663dabe4.jpg,640,480,pay,117,267,432,459
big.0ef32985-9a25-11eb-bbd8-dca2663dabe4.jpg,640,480,big,133,148,565,353
big.1ce96e38-9a25-11eb-92ff-dca2663dabe4.jpg,640,480,big,142,129,571,357
mom.847e3bc7-93b5-11eb-97ec-dca2663dabe4.jpg,640,480,mom,91,136,306,420
no.1df6f569-9701-11eb-a8d9-dca2663dabe4.jpg,640,480,no,148,150,409,450
please.e11a3eb5-9a25-11eb-abe0-dca2663dabe4.jpg,640,480,please,225,167,440,332
wash.ddfca123-9551-11eb-b26d-dca2663dabe4.jpg,640,480,wash,212,253,351,414
with.8a6266ad-99fb-11eb-b20e-dca2663dabe4.jpg,640,480,with,188,215,405,421
pay.62ae06c7-99fd-11eb-b0f4-dca2663dabe4.jpg,640,480,pay,131,242,455,455
house.d8093752-99e5-11eb-8ac3-dca2663dabe4.jpg,640,480,house,134,294,367,449
big.0a191801-9a25-11eb-92e3-dca2663dabe4.jpg,640,480,big,114,154,568,344
please.d2394da8-9a25-11eb-99f1-dca2663dabe4.jpg,640,480,please,226,163,445,366
will.e28d55af-93bc-11eb-9196-dca2663dabe4.jpg,640,480,will,122,231,313,450
school.91d82efe-93b7-11eb-a5eb-dca2663dabe4.jpg,640,480,school,22,296,301,428
yes.4914a891-955d-11eb-8eea-dca2663dabe4.jpg,640,480,yes,113,137,372,307
who.adc03f5e-9486-11eb-882a-dca2663dabe4.jpg,640,480,who,294,196,426,380
hurt.704be1b1-9552-11eb-8c03-dca2663dabe4.jpg,640,480,hurt,158,198,497,346
with.6fb9644d-99fb-11eb-bfcd-dca2663dabe4.jpg,640,480,with,199,239,466,467
horse.6ea91cfd-9447-11eb-b595-dca2663dabe4.jpg,640,480,horse,154,110,271,236
wash.e46f97f9-9551-11eb-87e5-dca2663dabe4.jpg,640,480,wash,263,276,361,405
friend.0b8dec8e-99e7-11eb-b6bc-dca2663dabe4.jpg,640,480,friend,261,218,530,373
hot.c218b7c1-9531-11eb-8a55-dca2663dabe4.jpg,640,480,hot,131,190,397,390
bye.98425c3a-948e-11eb-ab58-dca2663dabe4.jpg,640,480,bye,76,113,296,433
night.8ae743c9-93bb-11eb-9664-dca2663dabe4.jpg,640,480,night,2,317,440,480
when.36cee53a-95bf-11eb-8ef0-dca2663dabe4.jpg,640,480,when,198,228,365,418
bye.92b6c805-948e-11eb-af1a-dca2663dabe4.jpg,640,480,bye,16,157,246,458
like.ac1fe0c0-99e6-11eb-b9c9-dca2663dabe4.jpg,640,480,like,265,200,435,378
bye.a9c239a6-948e-11eb-aaae-dca2663dabe4.jpg,640,480,bye,316,82,555,379
yes.405fa490-955d-11eb-a358-dca2663dabe4.jpg,640,480,yes,211,175,451,368
dad.90786e4c-93af-11eb-a2b6-dca2663dabe4.jpg,640,480,dad,155,127,335,276
what.429f0c3b-948c-11eb-83df-dca2663dabe4.jpg,640,480,what,114,218,539,403
dad.8ea1762c-93af-11eb-a7b9-dca2663dabe4.jpg,640,480,dad,133,85,344,269
before.dee12bac-93d5-11eb-9af0-dca2663dabe4.jpg,640,480,before,241,248,485,480
you.2eeb1ffe-94a7-11eb-92dd-dca2663dabe4.jpg,640,480,you,207,290,421,471
horse.6fe88cbd-9447-11eb-b977-dca2663dabe4.jpg,640,480,horse,207,90,302,247
dad.9b0f012b-93af-11eb-871c-dca2663dabe4.jpg,640,480,dad,184,123,404,284
night.84bc407a-93bb-11eb-b566-dca2663dabe4.jpg,640,480,night,1,266,418,480
cold.7acf3253-93da-11eb-89ff-dca2663dabe4.jpg,640,480,cold,172,214,402,409
how.b92e125e-9a24-11eb-8c10-dca2663dabe4.jpg,640,480,how,144,268,510,471
yes.4159df71-955d-11eb-966b-dca2663dabe4.jpg,640,480,yes,223,125,457,334
will.d25f90e6-93bc-11eb-a6b3-dca2663dabe4.jpg,640,480,will,89,231,220,464
more.3dcdefc6-94f4-11eb-b633-dca2663dabe4.jpg,640,480,more,214,244,457,372
big.19fe1fab-9a25-11eb-b94e-dca2663dabe4.jpg,640,480,big,172,133,615,361
cat.0347e0d4-9447-11eb-9cea-dca2663dabe4.jpg,640,480,cat,274,97,356,280
i.5a81dd1e-9492-11eb-ba2d-dca2663dabe4.jpg,640,480,i,303,257,515,410
when.3165b4b5-95bf-11eb-a09c-dca2663dabe4.jpg,640,480,when,239,223,467,420
day.146efe2e-93bb-11eb-b270-dca2663dabe4.jpg,640,480,day,40,285,480,473
pay.603d616a-99fd-11eb-b9f9-dca2663dabe4.jpg,640,480,pay,60,245,380,437
cat.015aa56c-9447-11eb-ae21-dca2663dabe4.jpg,640,480,cat,297,104,391,254
hurt.7d80d886-9552-11eb-b016-dca2663dabe4.jpg,640,480,hurt,152,195,467,337
name.16d63712-99fc-11eb-89a3-dca2663dabe4.jpg,640,480,name,183,249,450,422
excuse.4b1ad8ba-93df-11eb-bd13-dca2663dabe4.jpg,640,480,excuse,215,150,446,393
cold.71a117cc-93da-11eb-b75c-dca2663dabe4.jpg,640,480,cold,167,204,427,424
more.4d3fe4de-94f4-11eb-bf29-dca2663dabe4.jpg,640,480,more,139,234,385,379
cat.02f5456a-9447-11eb-996f-dca2663dabe4.jpg,640,480,cat,282,95,361,270
cat.00121aa2-9447-11eb-9ce4-dca2663dabe4.jpg,640,480,cat,302,102,393,254
dislike.115d117f-99fb-11eb-801f-dca2663dabe4.jpg,640,480,dislike,168,139,359,416
when.3ce6fd47-95bf-11eb-8755-dca2663dabe4.jpg,640,480,when,132,230,364,436
yes.5dcdf95c-955d-11eb-b592-dca2663dabe4.jpg,640,480,yes,67,136,258,322
make.544d0680-99e7-11eb-8453-dca2663dabe4.jpg,640,480,make,225,227,436,455
who.a6a262eb-9486-11eb-a9e4-dca2663dabe4.jpg,640,480,who,215,170,336,367
what.447fe038-948c-11eb-8734-dca2663dabe4.jpg,640,480,what,136,191,569,383
cold.6db3549e-93da-11eb-a5c5-dca2663dabe4.jpg,640,480,cold,191,178,301,379
before.e30a49c3-93d5-11eb-9048-dca2663dabe4.jpg,640,480,before,240,256,454,480
with.81bd91fb-99fb-11eb-bfdb-dca2663dabe4.jpg,640,480,with,131,246,387,462
hello.926cf710-93ab-11eb-bf8b-dca2663dabe4.jpg,640,480,hello,303,114,513,450
house.d5e23226-99e5-11eb-b699-dca2663dabe4.jpg,640,480,house,112,276,374,450
make.51e3096a-99e7-11eb-9676-dca2663dabe4.jpg,640,480,make,203,223,415,457
yes.5c8a3607-955d-11eb-9adc-dca2663dabe4.jpg,640,480,yes,41,135,224,317
wash.e8f0f387-9551-11eb-b21c-dca2663dabe4.jpg,640,480,wash,252,261,375,410
yes.4441f769-955d-11eb-92a7-dca2663dabe4.jpg,640,480,yes,285,107,510,308
why.080dd26d-9a24-11eb-843d-dca2663dabe4.jpg,640,480,why,293,21,468,214
walk.b53740c6-9a23-11eb-8199-dca2663dabe4.jpg,640,480,walk,153,218,482,400
big.0bb4d633-9a25-11eb-813c-dca2663dabe4.jpg,640,480,big,87,142,538,360
bye.91c97066-948e-11eb-838e-dca2663dabe4.jpg,640,480,bye,21,153,276,450
dad.9bade26d-93af-11eb-84f6-dca2663dabe4.jpg,640,480,dad,193,114,412,280
school.994c5381-93b7-11eb-bdd4-dca2663dabe4.jpg,640,480,school,336,291,625,437
day.21d658e0-93bb-11eb-95bf-dca2663dabe4.jpg,640,480,day,49,252,512,455
help.3c099132-99e6-11eb-b044-dca2663dabe4.jpg,640,480,help,72,205,242,430
big.0c5b184a-9a25-11eb-a610-dca2663dabe4.jpg,640,480,big,99,149,543,364
what.3fd1c395-948c-11eb-ae7b-dca2663dabe4.jpg,640,480,what,26,221,402,393
hello.54d13ac7-93ab-11eb-a733-dca2663dabe4.jpg,640,480,hello,58,65,332,443
make.5e3a20dd-99e7-11eb-9372-dca2663dabe4.jpg,640,480,make,222,218,417,442
hello.9fd8df4a-93ab-11eb-90a7-dca2663dabe4.jpg,640,480,hello,272,55,511,448
pay.70d00080-99fd-11eb-833f-dca2663dabe4.jpg,640,480,pay,156,215,451,409
more.530a37ac-94f4-11eb-94b6-dca2663dabe4.jpg,640,480,more,205,259,460,414
you.2b0e229b-94a7-11eb-b500-dca2663dabe4.jpg,640,480,you,243,212,411,415
more.3f185a77-94f4-11eb-b65b-dca2663dabe4.jpg,640,480,more,225,270,472,403
bye.9cf2219f-948e-11eb-9bf2-dca2663dabe4.jpg,640,480,bye,253,145,435,403
no.283c98b3-9701-11eb-87a6-dca2663dabe4.jpg,640,480,no,98,164,432,480
house.cfd0657d-99e5-11eb-9239-dca2663dabe4.jpg,640,480,house,76,235,471,428
who.ac3226d8-9486-11eb-bf46-dca2663dabe4.jpg,640,480,who,285,210,427,377
excuse.3e454518-93df-11eb-9e35-dca2663dabe4.jpg,640,480,excuse,306,152,482,375
excuse.41cdb21f-93df-11eb-8716-dca2663dabe4.jpg,640,480,excuse,292,129,549,350
mom.8b083fc1-93b5-11eb-89aa-dca2663dabe4.jpg,640,480,mom,288,116,522,407
cat.081ed879-9447-11eb-8602-dca2663dabe4.jpg,640,480,cat,287,93,364,262
make.618a85d5-99e7-11eb-abc5-dca2663dabe4.jpg,640,480,make,196,201,397,440
please.d9fcc406-9a25-11eb-b59d-dca2663dabe4.jpg,640,480,please,210,168,435,362
hurt.7194e861-9552-11eb-8bc1-dca2663dabe4.jpg,640,480,hurt,219,192,457,313
excuse.4bbd546b-93df-11eb-85e8-dca2663dabe4.jpg,640,480,excuse,209,140,430,385
thank you.6f31ad02-9a25-11eb-88db-dca2663dabe4.jpg,640,480,thank you,239,56,404,265
before.df84275a-93d5-11eb-9d5c-dca2663dabe4.jpg,640,480,before,247,255,442,480
when.442e4b40-95bf-11eb-aee3-dca2663dabe4.jpg,640,480,when,172,280,315,472
dislike.0c200612-99fb-11eb-aafe-dca2663dabe4.jpg,640,480,dislike,120,128,371,442
thank you.77f1434a-9a25-11eb-aa12-dca2663dabe4.jpg,640,480,thank you,194,64,334,279
hello.93f8c674-93ab-11eb-86fe-dca2663dabe4.jpg,640,480,hello,230,117,463,457
more.597e23ff-94f4-11eb-9442-dca2663dabe4.jpg,640,480,more,187,215,435,375
like.a6f32418-99e6-11eb-9db8-dca2663dabe4.jpg,640,480,like,194,200,372,407
love.503e75a0-94aa-11eb-93f9-dca2663dabe4.jpg,640,480,love,214,155,427,368
who.a110700b-9486-11eb-a8ac-dca2663dabe4.jpg,640,480,who,319,178,463,371
hot.ca7772a6-9531-11eb-8748-dca2663dabe4.jpg,640,480,hot,378,256,515,395
name.0d53704d-99fc-11eb-ba16-dca2663dabe4.jpg,640,480,name,64,232,349,440
when.3b4b96a3-95bf-11eb-a5b7-dca2663dabe4.jpg,640,480,when,120,219,392,440
how.b641071e-9a24-11eb-a9fc-dca2663dabe4.jpg,640,480,how,174,264,521,459
name.1a3303c2-99fc-11eb-906e-dca2663dabe4.jpg,640,480,name,261,248,534,418
will.df23fb21-93bc-11eb-ab74-dca2663dabe4.jpg,640,480,will,345,225,535,471
when.42eb4e30-95bf-11eb-80b7-dca2663dabe4.jpg,640,480,when,179,262,311,446
cold.828fb6e0-93da-11eb-8804-dca2663dabe4.jpg,640,480,cold,211,211,401,408
hurt.7b9402a1-9552-11eb-903c-dca2663dabe4.jpg,640,480,hurt,156,192,427,322
how.a55f9c41-9a24-11eb-aeaa-dca2663dabe4.jpg,640,480,how,150,294,503,480
dad.9a20aab6-93af-11eb-bbcf-dca2663dabe4.jpg,640,480,dad,207,105,415,277
cold.7f02a158-93da-11eb-90a9-dca2663dabe4.jpg,640,480,cold,174,210,381,421
wash.dfec20b8-9551-11eb-b816-dca2663dabe4.jpg,640,480,wash,319,265,451,414
hurt.858ca546-9552-11eb-b639-dca2663dabe4.jpg,640,480,hurt,157,247,524,394
cat.107bb8f7-9447-11eb-a66a-dca2663dabe4.jpg,640,480,cat,183,84,273,270
you.3cc48e4b-94a7-11eb-a906-dca2663dabe4.jpg,640,480,you,46,206,263,370
sleep.ae1eaaab-9a34-11eb-a218-dca2663dabe4.jpg,640,480,sleep,316,139,519,357
excuse.3e98fe9c-93df-11eb-b12c-dca2663dabe4.jpg,640,480,excuse,305,146,507,392
school.a6e67557-93b7-11eb-84c6-dca2663dabe4.jpg,640,480,school,332,252,632,411
friend.00106e31-99e7-11eb-bbe9-dca2663dabe4.jpg,640,480,friend,154,209,501,364
please.e5f78cd9-9a25-11eb-bbf4-dca2663dabe4.jpg,640,480,please,179,161,405,354
thank you.7c83a73f-9a25-11eb-a0ed-dca2663dabe4.jpg,640,480,thank you,155,68,295,281
make.56ba9dd4-99e7-11eb-ae09-dca2663dabe4.jpg,640,480,make,274,207,455,433
hurt.7c36d799-9552-11eb-89ec-dca2663dabe4.jpg,640,480,hurt,167,196,432,335
horse.79750e1a-9447-11eb-a9f7-dca2663dabe4.jpg,640,480,horse,209,140,317,280
bye.99d316a0-948e-11eb-96ff-dca2663dabe4.jpg,640,480,bye,36,126,271,420
house.de571b17-99e5-11eb-89b7-dca2663dabe4.jpg,640,480,house,314,289,554,450
day.1f5a0e2e-93bb-11eb-b200-dca2663dabe4.jpg,640,480,day,18,267,422,441
where.621a7ba1-9703-11eb-b600-dca2663dabe4.jpg,640,480,where,152,65,391,441
bye.a1a4634c-948e-11eb-9fdf-dca2663dabe4.jpg,640,480,bye,245,130,470,415
hurt.8b5824c4-9552-11eb-9d16-dca2663dabe4.jpg,640,480,hurt,151,236,534,398
what.326b9e71-948c-11eb-a093-dca2663dabe4.jpg,640,480,what,9,241,565,462
like.a657d7b6-99e6-11eb-953e-dca2663dabe4.jpg,640,480,like,179,212,345,422
day.0f224705-93bb-11eb-abe6-dca2663dabe4.jpg,640,480,day,5,306,424,461
thank you.774ac595-9a25-11eb-8bda-dca2663dabe4.jpg,640,480,thank you,191,62,326,282
you.379b4b1f-94a7-11eb-bac7-dca2663dabe4.jpg,640,480,you,368,240,584,437
where.6bcf6031-9703-11eb-92ce-dca2663dabe4.jpg,640,480,where,310,71,496,433
cold.7342f8c8-93da-11eb-9c2d-dca2663dabe4.jpg,640,480,cold,208,217,392,402
with.820d30bb-99fb-11eb-a86e-dca2663dabe4.jpg,640,480,with,130,241,386,449
walk.aade9193-9a23-11eb-917c-dca2663dabe4.jpg,640,480,walk,117,179,518,397
why.0c4f1d79-9a24-11eb-80af-dca2663dabe4.jpg,640,480,why,299,29,477,235
horse.7bab4cdb-9447-11eb-92a3-dca2663dabe4.jpg,640,480,horse,290,107,364,266
how.b9813097-9a24-11eb-aee2-dca2663dabe4.jpg,640,480,how,133,261,481,465
excuse.374e0b53-93df-11eb-ba27-dca2663dabe4.jpg,640,480,excuse,146,133,442,343
day.19bb8bad-93bb-11eb-b180-dca2663dabe4.jpg,640,480,day,43,289,412,456
day.0a7699cd-93bb-11eb-ba85-dca2663dabe4.jpg,640,480,day,6,302,380,471
why.0bfb5b34-9a24-11eb-8241-dca2663dabe4.jpg,640,480,why,303,29,480,241
make.5ded998e-99e7-11eb-a13c-dca2663dabe4.jpg,640,480,make,237,204,427,444
pay.6ccea893-99fd-11eb-850b-dca2663dabe4.jpg,640,480,pay,219,263,496,463
where.604a7513-9703-11eb-8e01-dca2663dabe4.jpg,640,480,where,399,65,609,450
with.7f49517a-99fb-11eb-a84c-dca2663dabe4.jpg,640,480,with,99,259,343,480
school.a067be02-93b7-11eb-9ea8-dca2663dabe4.jpg,640,480,school,1,316,312,455
school.a9ab3805-93b7-11eb-82e1-dca2663dabe4.jpg,640,480,school,356,223,640,363
sleep.a2b18641-9a34-11eb-b946-dca2663dabe4.jpg,640,480,sleep,344,142,609,363
dislike.08bcaced-99fb-11eb-a930-dca2663dabe4.jpg,640,480,dislike,37,106,212,356
night.8ef01c3b-93bb-11eb-ac57-dca2663dabe4.jpg,640,480,night,31,309,552,480
walk.c9f9eae8-9a23-11eb-b3c1-dca2663dabe4.jpg,640,480,walk,154,235,524,415
no.1ae39a81-9701-11eb-b729-dca2663dabe4.jpg,640,480,no,133,109,463,456
friend.03b353cc-99e7-11eb-a63f-dca2663dabe4.jpg,640,480,friend,196,207,484,383
walk.b29c13ed-9a23-11eb-bad3-dca2663dabe4.jpg,640,480,walk,158,206,479,412
why.0ee431ca-9a24-11eb-be46-dca2663dabe4.jpg,640,480,why,299,35,480,238
why.09b4741c-9a24-11eb-9bb5-dca2663dabe4.jpg,640,480,why,331,33,485,215
pay.5d247c9f-99fd-11eb-a026-dca2663dabe4.jpg,640,480,pay,197,248,479,443
love.418d24fd-94aa-11eb-9298-dca2663dabe4.jpg,640,480,love,205,148,444,353
horse.6e0669e7-9447-11eb-93a8-dca2663dabe4.jpg,640,480,horse,147,125,255,253
love.4f4781f8-94aa-11eb-9336-dca2663dabe4.jpg,640,480,love,201,150,426,396
love.3cb251a5-94aa-11eb-b518-dca2663dabe4.jpg,640,480,love,149,146,413,394
big.1233d9d9-9a25-11eb-ae4e-dca2663dabe4.jpg,640,480,big,141,162,570,381
dad.a5ea4e56-93af-11eb-8704-dca2663dabe4.jpg,640,480,dad,145,132,314,281
thank you.83f7483a-9a25-11eb-8591-dca2663dabe4.jpg,640,480,thank you,265,68,406,277
day.0de46652-93bb-11eb-abcc-dca2663dabe4.jpg,640,480,day,1,301,388,463
cat.00651e92-9447-11eb-8629-dca2663dabe4.jpg,640,480,cat,294,126,401,281
mom.7197bbf2-93b5-11eb-a38f-dca2663dabe4.jpg,640,480,mom,15,118,257,418
hot.bdba7d78-9531-11eb-a23b-dca2663dabe4.jpg,640,480,hot,329,253,498,456
make.68c21ac9-99e7-11eb-9b90-dca2663dabe4.jpg,640,480,make,253,185,453,406
hurt.8a62bdeb-9552-11eb-856b-dca2663dabe4.jpg,640,480,hurt,133,241,550,398
hello.5ca6c05d-93ab-11eb-94ab-dca2663dabe4.jpg,640,480,hello,300,132,532,477
where.7a05bcd4-9703-11eb-9c5e-dca2663dabe4.jpg,640,480,where,71,71,306,480
what.38a5ed68-948c-11eb-ba09-dca2663dabe4.jpg,640,480,what,155,193,554,399
love.40e9722e-94aa-11eb-863a-dca2663dabe4.jpg,640,480,love,196,161,431,372
sleep.b4c16bfb-9a34-11eb-ac92-dca2663dabe4.jpg,640,480,sleep,230,138,411,370
mom.86a876cd-93b5-11eb-acb1-dca2663dabe4.jpg,640,480,mom,182,140,400,434
dislike.13c58411-99fb-11eb-88d1-dca2663dabe4.jpg,640,480,dislike,186,164,409,457
stop.f87bad28-955a-11eb-984c-dca2663dabe4.jpg,640,480,stop,55,204,320,403
who.b4dea63f-9486-11eb-a45c-dca2663dabe4.jpg,640,480,who,277,179,419,379
hot.b8708877-9531-11eb-a652-dca2663dabe4.jpg,640,480,hot,209,303,391,480
where.6d077d58-9703-11eb-8cad-dca2663dabe4.jpg,640,480,where,278,93,496,435
school.a1a3f33a-93b7-11eb-b345-dca2663dabe4.jpg,640,480,school,3,297,324,463
please.e74434c4-9a25-11eb-81b5-dca2663dabe4.jpg,640,480,please,215,163,414,350
stop.f6dce7a7-955a-11eb-9aea-dca2663dabe4.jpg,640,480,stop,298,202,570,393
why.1b3ed8a3-9a24-11eb-9e27-dca2663dabe4.jpg,640,480,why,128,33,289,209
will.e19ba012-93bc-11eb-801b-dca2663dabe4.jpg,640,480,will,191,206,321,445
cat.1883974b-9447-11eb-a8e8-dca2663dabe4.jpg,640,480,cat,313,117,411,248
stop.f44c2ada-955a-11eb-9639-dca2663dabe4.jpg,640,480,stop,258,213,515,410
horse.7b5cc8a4-9447-11eb-9c22-dca2663dabe4.jpg,640,480,horse,269,113,351,267
like.ae8db16e-99e6-11eb-b05f-dca2663dabe4.jpg,640,480,like,259,167,431,361
will.e37d7425-93bc-11eb-b9ef-dca2663dabe4.jpg,640,480,will,133,246,332,441
dislike.05b04d57-99fb-11eb-877e-dca2663dabe4.jpg,640,480,dislike,300,158,512,387
hello.9629dc18-93ab-11eb-8527-dca2663dabe4.jpg,640,480,hello,117,108,360,462
day.18cbe83a-93bb-11eb-9bae-dca2663dabe4.jpg,640,480,day,32,294,452,474
no.1552b6f7-9701-11eb-8700-dca2663dabe4.jpg,640,480,no,362,139,583,406
make.5f2130fe-99e7-11eb-8fbf-dca2663dabe4.jpg,640,480,make,233,216,401,440
big.1425a29d-9a25-11eb-8aee-dca2663dabe4.jpg,640,480,big,154,150,598,417
dad.8d15724b-93af-11eb-bb9b-dca2663dabe4.jpg,640,480,dad,145,80,344,276
more.4b532712-94f4-11eb-bd7e-dca2663dabe4.jpg,640,480,more,210,260,461,393
like.acb91db8-99e6-11eb-a3ea-dca2663dabe4.jpg,640,480,like,289,194,458,375
hello.9588d4eb-93ab-11eb-a6bf-dca2663dabe4.jpg,640,480,hello,159,126,394,452
you.2a69f2ba-94a7-11eb-a265-dca2663dabe4.jpg,640,480,you,275,240,467,429
pay.5efd708a-99fd-11eb-8202-dca2663dabe4.jpg,640,480,pay,265,247,503,446
like.ab37f5ad-99e6-11eb-a73c-dca2663dabe4.jpg,640,480,like,239,184,417,384
you.35acfa89-94a7-11eb-9594-dca2663dabe4.jpg,640,480,you,205,259,472,465
horse.7a17009d-9447-11eb-8c82-dca2663dabe4.jpg,640,480,horse,214,144,312,265
what.4a21b991-948c-11eb-b295-dca2663dabe4.jpg,640,480,what,162,213,506,403
school.a243fbf9-93b7-11eb-937e-dca2663dabe4.jpg,640,480,school,30,309,379,458
bye.a0b7f030-948e-11eb-bb3e-dca2663dabe4.jpg,640,480,bye,289,157,493,420
walk.bb647184-9a23-11eb-9bcc-dca2663dabe4.jpg,640,480,walk,163,222,480,399
you.3f087054-94a7-11eb-be9d-dca2663dabe4.jpg,640,480,you,228,281,407,475
excuse.3416aa3d-93df-11eb-a015-dca2663dabe4.jpg,640,480,excuse,81,161,340,347
you.3e1093bd-94a7-11eb-b14c-dca2663dabe4.jpg,640,480,you,84,228,268,442
stop.f542a671-955a-11eb-9b58-dca2663dabe4.jpg,640,480,stop,345,211,599,380
school.90e8a9d4-93b7-11eb-bdb0-dca2663dabe4.jpg,640,480,school,24,297,306,428
dad.929f5226-93af-11eb-9111-dca2663dabe4.jpg,640,480,dad,142,116,339,273
before.df32b807-93d5-11eb-9926-dca2663dabe4.jpg,640,480,before,249,239,448,480
will.d9cf66e9-93bc-11eb-a89e-dca2663dabe4.jpg,640,480,will,292,246,515,452
name.0ede4ead-99fc-11eb-8164-dca2663dabe4.jpg,640,480,name,361,193,621,381
please.d670b85d-9a25-11eb-adac-dca2663dabe4.jpg,640,480,please,208,169,432,360
more.554e88fa-94f4-11eb-bcc8-dca2663dabe4.jpg,640,480,more,168,238,401,388
before.f4aa6e8b-93d5-11eb-adca-dca2663dabe4.jpg,640,480,before,109,267,377,480
love.3d57f93e-94aa-11eb-aa0b-dca2663dabe4.jpg,640,480,love,156,146,430,382
friend.0e41324a-99e7-11eb-bf1c-dca2663dabe4.jpg,640,480,friend,146,244,484,409
why.1320e4bb-9a24-11eb-90ef-dca2663dabe4.jpg,640,480,why,326,35,475,219
school.9bc58953-93b7-11eb-b409-dca2663dabe4.jpg,640,480,school,285,322,568,459
day.137d1f65-93bb-11eb-84e4-dca2663dabe4.jpg,640,480,day,21,293,483,477
horse.7b0b08f8-9447-11eb-a705-dca2663dabe4.jpg,640,480,horse,249,117,329,294
will.d4d8773d-93bc-11eb-a33b-dca2663dabe4.jpg,640,480,will,231,224,387,460
will.cdbb63ad-93bc-11eb-9a4b-dca2663dabe4.jpg,640,480,will,118,295,292,456
where.63a3e795-9703-11eb-8537-dca2663dabe4.jpg,640,480,where,77,62,353,430
